AÑO;MES;Código del Cliente;Nombre del Cliente;Nombre Doc;Número del Documento;Fecha;Nombre del Vendedor;Cond. Pago;Línea;Cod. Producto;Desc. Producto;Cantidad;Precio Unitario;Descuento;Total Detalle;LL1;N° SEMANA;ORDEN CORRELATIVO
2025;ENE;77.432.592-1;FRANFER SPA;F.VTA AFECTA RS ELECT.;17133;45659;VENDEDOR;CREDITO30;1;YT21154;"ALICATE DE PUNTA AISLADO 1000V. 6"" 160MML";2;15500;-35;20150;ENE2025;1;60523
2025;ENE;77.432.592-1;FRANFER SPA;F.VTA AFECTA RS ELECT.;17133;45659;VENDEDOR;CREDITO30;2;YT01234T;JABON MECANICO 2 LTS.;10;10490;-35;68185;ENE2025;1;60524
2025;ENE;77.432.592-1;FRANFER SPA;F.VTA AFECTA RS ELECT.;17134;45659;VENDEDOR;CREDITO30;1;YT0348;LLAVE PUNTA CORONA 19 MM;1;5490;-35;3569;ENE2025;1;60525
2025;ENE;77.432.592-1;FRANFER SPA;F.VTA AFECTA RS ELECT.;17134;45659;VENDEDOR;CREDITO30;2;YT74728;GUANTES DE TRABAJO NYLON/PU T.8;50;1950;-35;63375;ENE2025;1;60526
2025;ENE;77.432.592-1;FRANFER SPA;F.VTA AFECTA RS ELECT.;17134;45659;VENDEDOR;CREDITO30;3;YT7473;GUANTES DE TRABAJO NYLON/PU T.10;50;1950;-35;63375;ENE2025;1;60527
2025;ENE;77.432.592-1;FRANFER SPA;F.VTA AFECTA RS ELECT.;17134;45659;VENDEDOR;CREDITO30;4;'530424;"CINTA TEFLON 3/4"" X 10 MTS";1;950;-35;618;ENE2025;1;60528
2025;ENE;76.045.151-7;AUTOMOTRIZ ASC APOQUINDO LTDA.;F.VTA AFECTA RS ELECT.;17135;45659;ENRIQUE HERNANDEZ PEREZ;CREDITO30;1;'168171;DADO 1/2 IMPACTO LARGO 17MM;1;5700;0;5700;ENE2025;1;60529
2025;ENE;76.045.151-7;AUTOMOTRIZ ASC APOQUINDO LTDA.;F.VTA AFECTA RS ELECT.;17135;45659;ENRIQUE HERNANDEZ PEREZ;CREDITO30;2;'168191;DADO 1/2 IMPACTO LARGO 19MM;1;6000;0;6000;ENE2025;1;60530
2025;ENE;76.045.151-7;AUTOMOTRIZ ASC APOQUINDO LTDA.;F.VTA AFECTA RS ELECT.;17135;45659;ENRIQUE HERNANDEZ PEREZ;CREDITO30;3;'168211;DADO 1/2 IMPACTO LARGO 21MM;1;6075;0;6075;ENE2025;1;60531
2025;ENE;76.045.151-7;AUTOMOTRIZ ASC APOQUINDO LTDA.;F.VTA AFECTA RS ELECT.;17135;45659;ENRIQUE HERNANDEZ PEREZ;CREDITO30;4;'168221;DADO 1/2 IMPACTO LARGO 22MM;1;6300;0;6300;ENE2025;1;60532
