;LISTA DE PRECIOS (JUNIO - 26);;;
CODIGO;MARCA;DESCRIPCION;PRECIO UNITARIO NETO;IMAGEN REFERENCIAL
YT7434;YATO;Bolso para herramientas, con ruedas y manilla retractil. 29 bolsillos. 510x290x360 mm; $39.990 ;
1619BZ0100;BOSCH;"Bolso para herramientas Bosch Professional

Versátil y resistente: bolso de herramientas mediano y espacioso para almacenar múltiples herramientas eléctricas y accesorios.
Muy resistente: construcción duradera de poliéster y cremalleras industriales Puede almacenar y transportar múltiples herramientas eléctricas, mecánicas y accesorios. Muy espacioso: 480 mm x 280 mm x 300 mm y amplia apertura para fácil acceso.

 Cabe fácilmente dos herramientas grandes (Ej.: sierra circular y rotomartillo), e incluso tiene espacio para otros productos y accesorios
Posee 3 compartimientos externos para guardar accesorios, herramientas manuales, etc.
Muy resistente: soporta hasta 15 kg"; $24.990 ;
YT7430;YATO;"Bolso Porta Herramientas. 49 x 26 x 34 cm
Equipado con 50 bolsillos de diversos tamaños y propósitos."; $34.990 ;
HTBG281628;INGCO;"BOLSO PORTA HERRAMIENTAS 16"" CON 16 BOLSILLOS
Carga máx. 15kgs
Marco rígido, 6 bolsillos externos, 8 bolsillos internos"; $13.990 ;
HRRTB2015;INGCO;"BOLSO PARA HERRAMIENTAS INGCO 20"" C/RUEDAS Y MANGO

Ancho: 45cm
Alto: 36cm
Fondo: 28cm

Material: poliéster 1680D
Carga máxima: 20 kg
Con tirador telescópico con ruedas.
5 bolsillos externos y múltiples internos.
1 colgador para cinta métrica.
Marco rígido para fácil apertura y acceso"; $56.990 ;
YT74371;YATO;"Bolso Porta Herramientas 12”.
Abierto 9 Bolsillos. Contenedor grande para herramientas abierto de 12”.
Parte inferior del bolso con una construcción reforzada y resistente a la humedad central hecha de un tubo de metal con una cubierta suave antideslizante, soporta cargas pesadas y estabiliza la forma del bolso.
Equipado con 9 bolsillos de diversos tamaños y propósitos.
Está diseñado para transportar herramientas eléctricas, herramientas manuales y accesorios directamente a la estación de trabajo."; $32.990 ;
YT7440;YATO;MOCHILA PORTA HERRAMIENTAS. 33 x 16 x 43 cms. 28 bolsillos. Heavy Duty Nylon.; $26.990 ;
9022-BP1;IRIMO;"MOCHILA PORTA HERRAMIENTAS. Alta capacidad de almacenaje con diferentes bolsillos y organizador de herramientas desmontable. 20 L, 16 kg
Compartimento para portátil
Organizador desmontable: 10 bolsillos para una mejor organización
Bolsillo para smartphone en el compartimento frontal
Poliéster 600D. Resistente y duradera"; $49.990 ;
YT88880;YATO;Caja para herramientas plástica 350x180x160 mm; $17.490 ;
YT88881;YATO;Caja para herramientas plástica 420x210x195 mm; $23.990 ;
YT88882;YATO;Caja para herramientas plástica 475x230x210 mm; $28.990 ;
3149-OR;BAHCO;"Caja porta herramientas plegable fabricada en acero
530x220x200 mm
Revestimiento en polvo resistente
Acero para herramientas con acabado lacado martillado
Tapa equipada para la colocación de un candado
Asa plegable para un almacenamiento compacto
Apertura fácil de la caja con solo tirar del asa para acceder de inmediato a todos los compartimentos de herramientas
Cinco compartimentos disponibles
Caja de herramientas de fácil acceso
Excelente capacidad de almacenamiento para multitud de herramientas y accesorios manuales
Acceso inmediato a las herramientas guardadas tras la apertura, sin necesidad de extraer bandejas ni de abrir cajones"; $41.990 ;
YT0881;YATO;Caja p/herramientas metálica, plegable, pintura satinada negra, resistente a rayados, oxidos y solventes, 3 bandejas interiores (560x260x340mm).; $64.990 ;
YT0882;YATO;Caja p/herramientas metálica, plegable, pintura satinada negra, resistente a rayados, oxidos y solventes, (360x150x115mm).; $19.990 ;
YT0884;YATO;Caja p/herramientas metálica, plegable, pintura satinada negra, resistente a rayados, oxidos y solventes, 3 bandejas interiores (460x200x180mm).; $47.990 ;
YT0885;YATO;Caja p/herramientas metálica, plegable, pintura satinada negra, resistente a rayados, oxidos y solventes, 5 bandejas interiores (460x200x225mm).; $52.490 ;
YT08872;YATO;CAJA HERRAMIENTAS TIPO GABINETE PORTABLE 520 X 218 X 255 MM. CON 2 BANDEJAS CORREDIZAS PARA ORGANIZAR, BROCHES METALICOS PARA AJUSTE RAPIDO, FABRICADO EN ACERO DE ALTA RESITENCIA Y FACIL DE TRANSPORTAR, IDEAL PARA TRABAJOS MECANICOS Y DE MANTENIMIENTO EN GENERAL; $74.990 ;
YT08873;YATO;CAJA HERRAMIENTAS TIPO GABINETE PORTABLE 520 X 218 X 300 MM. CON 3 BANDEJAS CORREDIZAS PARA ORGANIZAR, BROCHES METALICOS PARA AJUSTE RAPIDO, FABRICADO EN ACERO DE ALTA RESITENCIA Y FACIL DE TRANSPORTAR, IDEAL PARA TRABAJOS MECANICOS Y DE MANTENIMIENTO EN GENERAL; $94.990 ;
YT08874;YATO;CAJA HERRAMIENTAS TIPO GABINETE PORTABLE 520 X 230 X 360 MM. CON 4 BANDEJA CORREDIZAS PARA ORGANIZAR, BROCHES METALICOS PARA AJUSTE RAPIDO, FABRICADO EN ACERO DE ALTA RESITENCIA Y FACIL DE TRANSPORTAR, IDEAL PARA TRABAJOS MECANICOS Y DE MANTENIMIENTO EN GENERAL; $114.990 ;
320360;TACTIX;"CAJA HERRAMIENTAS TECNICA TACTIX PORTABLE - 52,8X37,1X17,9 CM. (20-3/4""X14-1/2""X7""). MATERIAL ESTRUTURAL DE RESINA ALTAMENTE RESISTENTE. SELLADO, ANTI AGUA Y ANTI POLVO. INCLUYE EN SU INTERIOR 6 CAJAS CON TAPA REMOVIBLES. "; $65.990 ;
90274;KENDO;"CAJA HERRAMIENTAS PLASTICA CON RUEDAS 60X30X39 CMS.

Resistente al agua, 2 ruedas, bandeja extraíble, 70lts aprox"; $84.990 ;
T320310;TACTIX;"CAJA TIPO BAUL C/RUEDAS 24"" C/CAJA HERRAMIENTAS 20""
Dos cajas de almacenamiento bien construidas
Tamaño superior: 51 x 26 x 23 cm; tamaño inferior: 61 x37 x 37 cm.
Ranura en V incorporada con incrementos de medición SAE y métricas.
Ruedas grandes recubiertas de goma (6 x 2"") (TPR).
Bandeja transportada en la caja de herramientas superior.
Pestillos de acero de alta resistencia."; $109.990 ;
YT09101;YATO;Carro para herramientas, desplegable en 3 secciones. Con ruedas. Tamaño: 72 x 32 x52cm; $224.990 ;
320230;TACTIX;"CAJA PLASTICA PLEGABLE Y APILABLE  48 X 35 X 18,3 CMS

Caja plegable y apilable fabricada en plastico de alta resistencia"; $18.990 ;
